Key,SourceString
NAME_ID_ITEM_DAIJINAMONO_AOINAMIDA,"Azure Tear",
RUBY_ID_ITEM_DAIJINAMONO_AOINAMIDA,"Azure Tear",
EXPLANATION_ID_ITEM_DAIJINAMONO_AOINAMIDA,"Beautiful blue\ncrystal shed\nby Orc King.",
NAME_ID_ITEM_DAIJINAMONO_AONOKIDOUSEKI,"Blue Starting Stone",
RUBY_ID_ITEM_DAIJINAMONO_AONOKIDOUSEKI,"Blue Starting Stone",
EXPLANATION_ID_ITEM_DAIJINAMONO_AONOKIDOUSEKI,"Starts blue\ncontrol table\nin Rinja Tower.",
NAME_ID_ITEM_DAIJINAMONO_AONOKIIENBUREMU,"Blue Key Emblem",
RUBY_ID_ITEM_DAIJINAMONO_AONOKIIENBUREMU,"Blue Key Emblem",
EXPLANATION_ID_ITEM_DAIJINAMONO_AONOKIIENBUREMU,"Blue emblem\nthat Julet\nheroes receive.",
NAME_ID_ITEM_DAIJINAMONO_ARABIENANOISI,"Arabiena Stone",
RUBY_ID_ITEM_DAIJINAMONO_ARABIENANOISI,"Arabiena Stone",
EXPLANATION_ID_ITEM_DAIJINAMONO_ARABIENANOISI,"Material used\nfor building\nthe Arena.",
NAME_ID_ITEM_DAIJINAMONO_ARAGAMINOGOHU,"Deity's Amulet",
RUBY_ID_ITEM_DAIJINAMONO_ARAGAMINOGOHU,"Deity's Amulet",
EXPLANATION_ID_ITEM_DAIJINAMONO_ARAGAMINOGOHU,"Wild amulet\ngiven by Dance\nGod Bonita.",
NAME_ID_ITEM_DAIJINAMONO_ARUGONHATO,"Argon Heart",
RUBY_ID_ITEM_DAIJINAMONO_ARUGONHATO,"Argon Heart",
EXPLANATION_ID_ITEM_DAIJINAMONO_ARUGONHATO,"Jewelry from a\nhuge red dragon\nlong dead.",
NAME_ID_ITEM_DAIJINAMONO_ASOBININNOAKASHI,"Proof of GAD",
RUBY_ID_ITEM_DAIJINAMONO_ASOBININNOAKASHI,"Proof of GAD",
EXPLANATION_ID_ITEM_DAIJINAMONO_ASOBININNOAKASHI,"A medal given to\nthose recognized\nas a Gadabout.",
NAME_ID_ITEM_DAIJINAMONO_ASOBININNOTOKUCHUHANABI,"Gadabout's Fireworks",
RUBY_ID_ITEM_DAIJINAMONO_ASOBININNOTOKUCHUHANABI,"Gadabout's Fireworks",
EXPLANATION_ID_ITEM_DAIJINAMONO_ASOBININNOTOKUCHUHANABI,"Gadabout's\nfireworks\nmade-to-order.",
NAME_ID_ITEM_DAIJINAMONO_ASUTORUNIUMU,"Astolnium",
RUBY_ID_ITEM_DAIJINAMONO_ASUTORUNIUMU,"Astolnium",
EXPLANATION_ID_ITEM_DAIJINAMONO_ASUTORUNIUMU,"Metal ore that\nhas no specific\nuse right now.",
NAME_ID_ITEM_DAIJINAMONO_AZANOSYASIN,"Birthmark Photo",
RUBY_ID_ITEM_DAIJINAMONO_AZANOSYASIN,"Birthmark Photo",
EXPLANATION_ID_ITEM_DAIJINAMONO_AZANOSYASIN,"Picture of\nbirthmark on\nDezel's hand.",
NAME_ID_ITEM_DAIJINAMONO_BANSANKAINOSYASIN,"Banquet Photo",
RUBY_ID_ITEM_DAIJINAMONO_BANSANKAINOSYASIN,"Banquet Photo",
EXPLANATION_ID_ITEM_DAIJINAMONO_BANSANKAINOSYASIN,"Photo of the\nbanquet at the\nRuby Mansion.",
NAME_ID_ITEM_DAIJINAMONO_BATORUDORESU,"Battle Dress",
RUBY_ID_ITEM_DAIJINAMONO_BATORUDORESU,"Battle Dress",
EXPLANATION_ID_ITEM_DAIJINAMONO_BATORUDORESU,"To look like a\nwar goddess.\nFor Maille only.",
NAME_ID_ITEM_DAIJINAMONO_BATORUMASUTAANOAKASHI,"Proof of BTL",
RUBY_ID_ITEM_DAIJINAMONO_BATORUMASUTAANOAKASHI,"Proof of BTL",
EXPLANATION_ID_ITEM_DAIJINAMONO_BATORUMASUTAANOAKASHI,"A medal given to\nthose recognized\nas a Battlemaster.",
NAME_ID_ITEM_DAIJINAMONO_BATORUSUTEKI,"Battle Steak",
RUBY_ID_ITEM_DAIJINAMONO_BATORUSUTEKI,"Battle Steak",
EXPLANATION_ID_ITEM_DAIJINAMONO_BATORUSUTEKI,"Delivery\nrequested by a\nCook.",
NAME_ID_ITEM_DAIJINAMONO_BIGGUMITO,"Big Meat",
RUBY_ID_ITEM_DAIJINAMONO_BIGGUMITO,"Big Meat",
EXPLANATION_ID_ITEM_DAIJINAMONO_BIGGUMITO,"Nutritious\ngiant bone-in\nmeat.",
NAME_ID_ITEM_DAIJINAMONO_BIRIBIRIRIIHU,"Shocking Leaf",
RUBY_ID_ITEM_DAIJINAMONO_BIRIBIRIRIIHU,"Shocking Leaf",
EXPLANATION_ID_ITEM_DAIJINAMONO_BIRIBIRIRIIHU,"Bright green\nleaf native to\nthe jungle.",
NAME_ID_ITEM_DAIJINAMONO_BOROBORONOHON,"Tattered Book",
RUBY_ID_ITEM_DAIJINAMONO_BOROBORONOHON,"Tattered Book",
EXPLANATION_ID_ITEM_DAIJINAMONO_BOROBORONOHON,"Decaying book\ndropped by a\nghost soldier.",
NAME_ID_ITEM_DAIJINAMONO_BOROBORONOSHUKI,"Tattered Memoir",
RUBY_ID_ITEM_DAIJINAMONO_BOROBORONOSHUKI,"Tattered Memoir",
EXPLANATION_ID_ITEM_DAIJINAMONO_BOROBORONOSHUKI,"Old memoir that\nfalls apart at\nthe mere touch.",
NAME_ID_ITEM_DAIJINAMONO_BORUTANOTEGAMI,"Bolter's Letter",
RUBY_ID_ITEM_DAIJINAMONO_BORUTANOTEGAMI,"Bolter's Letter",
EXPLANATION_ID_ITEM_DAIJINAMONO_BORUTANOTEGAMI,"Letter left by\nCrafter Bolter\nto his son Toto.",
NAME_ID_ITEM_DAIJINAMONO_BOTANNOMONTSUKIHAKAMA,"Peony Crest Hakama",
RUBY_ID_ITEM_DAIJINAMONO_BOTANNOMONTSUKIHAKAMA,"Peony Crest Hakama",
EXPLANATION_ID_ITEM_DAIJINAMONO_BOTANNOMONTSUKIHAKAMA,"To look\nold-fashioned.\nFor Hyuza only.",
NAME_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_DWF,"Adventure Log",
RUBY_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_DWF,"Adventure Log",
EXPLANATION_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_DWF,"Records\neverything on\nyour journey.",
NAME_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_ELF,"Adventure Log",
RUBY_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_ELF,"Adventure Log",
EXPLANATION_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_ELF,"Records\neverything on\nyour journey.",
NAME_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_ORG,"Adventure Log",
RUBY_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_ORG,"Adventure Log",
EXPLANATION_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_ORG,"Records\neverything on\nyour journey.",
NAME_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_PUK,"Adventure Log",
RUBY_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_PUK,"Adventure Log",
EXPLANATION_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_PUK,"Records\neverything on\nyour journey.",
NAME_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_SYOKI,"Adventure Log",
RUBY_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_SYOKI,"Adventure Log",
EXPLANATION_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_SYOKI,"Records\neverything on\nyour journey.",
NAME_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_WED,"Adventure Log",
RUBY_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_WED,"Adventure Log",
EXPLANATION_ID_ITEM_DAIJINAMONO_BOUKENNOSYO_WED,"Records\neverything on\nyour journey.",
NAME_ID_ITEM_DAIJINAMONO_BOUSABIPURETO,"Rust-Proof Plate",
RUBY_ID_ITEM_DAIJINAMONO_BOUSABIPURETO,"Rust-Proof Plate",
EXPLANATION_ID_ITEM_DAIJINAMONO_BOUSABIPURETO,"Durable metal\nplate that is\nrust proof.",
NAME_ID_ITEM_DAIJINAMONO_BUREIBUGIFUTOSHIRO,"White Brave Gift",
RUBY_ID_ITEM_DAIJINAMONO_BUREIBUGIFUTOSHIRO,"White Brave Gift",
EXPLANATION_ID_ITEM_DAIJINAMONO_BUREIBUGIFUTOSHIRO,"Pure white\nand dignified.\nFor Anlucia only.",
NAME_ID_ITEM_DAIJINAMONO_BUREIBUSUTON,"Brave Stone",
RUBY_ID_ITEM_DAIJINAMONO_BUREIBUSUTON,"Brave Stone",
EXPLANATION_ID_ITEM_DAIJINAMONO_BUREIBUSUTON,"Sacred stone to\ntravel between\ntwo worlds.",
NAME_ID_ITEM_DAIJINAMONO_BUTOUKANOAKASHI,"Proof of MRT",
RUBY_ID_ITEM_DAIJINAMONO_BUTOUKANOAKASHI,"Proof of MRT",
EXPLANATION_ID_ITEM_DAIJINAMONO_BUTOUKANOAKASHI,"A medal given to\nthose recognized as\na Martial Artist.",
NAME_ID_ITEM_DAIJINAMONO_DAITOUZOKUNOKAGI,"Great Thief's Key",
RUBY_ID_ITEM_DAIJINAMONO_DAITOUZOKUNOKAGI,"Great Thief's Key",
EXPLANATION_ID_ITEM_DAIJINAMONO_DAITOUZOKUNOKAGI,"Opens black\nchests and\nlocked doors.",
NAME_ID_ITEM_DAIJINAMONO_DAIZINAWAPPEN,"Important Badge",
RUBY_ID_ITEM_DAIJINAMONO_DAIZINAWAPPEN,"Important Badge",
EXPLANATION_ID_ITEM_DAIJINAMONO_DAIZINAWAPPEN,"Badge given to\na Gatara boy\nby his father.",
NAME_ID_ITEM_DAIJINAMONO_DEFERUKOUYANOISI,"Defel Wasteland Stone",
RUBY_ID_ITEM_DAIJINAMONO_DEFERUKOUYANOISI,"Defel Desert Stone",
EXPLANATION_ID_ITEM_DAIJINAMONO_DEFERUKOUYANOISI,"An ordinary rock\nfrom the Defel\nWasteland.",
NAME_ID_ITEM_DAIJINAMONO_DEZERUNOTEGAMI,"Dezel's Letter",
RUBY_ID_ITEM_DAIJINAMONO_DEZERUNOTEGAMI,"Dezel's Letter",
EXPLANATION_ID_ITEM_DAIJINAMONO_DEZERUNOTEGAMI,"Letter found\nin Dezel's\ninside pocket.",
NAME_ID_ITEM_DAIJINAMONO_DOKODEMOKURAKKA,"Anywhere Cracker",
RUBY_ID_ITEM_DAIJINAMONO_DOKODEMOKURAKKA,"Anywhere Cracker",
EXPLANATION_ID_ITEM_DAIJINAMONO_DOKODEMOKURAKKA,"Special cracker\nthat echoes\nfar and wide.",
NAME_ID_ITEM_DAIJINAMONO_DORAGONNOSIPPO,"Dragon Tail",
RUBY_ID_ITEM_DAIJINAMONO_DORAGONNOSIPPO,"Dragon Tail",
EXPLANATION_ID_ITEM_DAIJINAMONO_DORAGONNOSIPPO,"Needed for\nrecognition in\nTown of Celed.",
NAME_ID_ITEM_DAIJINAMONO_DOROKUSAIKOURA,"Smelly Shell",
RUBY_ID_ITEM_DAIJINAMONO_DOROKUSAIKOURA,"Smelly Shell",
EXPLANATION_ID_ITEM_DAIJINAMONO_DOROKUSAIKOURA,"Large dirty\nshell covered\nin mud.",
NAME_ID_ITEM_DAIJINAMONO_DORUBODO,"Dolboard",
RUBY_ID_ITEM_DAIJINAMONO_DORUBODO,"Dolboard",
EXPLANATION_ID_ITEM_DAIJINAMONO_DORUBODO,"Ancient\nmachine that\ncan be ridden.",
NAME_ID_ITEM_DAIJINAMONO_DORUBODONOZANGAI,"Dolboard Remains",
RUBY_ID_ITEM_DAIJINAMONO_DORUBODONOZANGAI,"Dolboard Remains",
EXPLANATION_ID_ITEM_DAIJINAMONO_DORUBODONOZANGAI,"Remnants of an\nancient dolboard.",
NAME_ID_ITEM_DAIJINAMONO_DOUGUTUKAINOAKASHI,"Proof of ITM",
RUBY_ID_ITEM_DAIJINAMONO_DOUGUTUKAINOAKASHI,"Proof of ITM",
EXPLANATION_ID_ITEM_DAIJINAMONO_DOUGUTUKAINOAKASHI,"A medal given to\nthose recognized\nas an Item Master.",
NAME_ID_ITEM_DAIJINAMONO_EITINOMONSYOU,"Wisdom Crest",
RUBY_ID_ITEM_DAIJINAMONO_EITINOMONSYOU,"Wisdom Crest",
EXPLANATION_ID_ITEM_DAIJINAMONO_EITINOMONSYOU,"For those who\nbear the heart\nof wisdom.",
NAME_ID_ITEM_DAIJINAMONO_ENAZIPAUDA,"Energy Powder",
RUBY_ID_ITEM_DAIJINAMONO_ENAZIPAUDA,"Energy Powder",
EXPLANATION_ID_ITEM_DAIJINAMONO_ENAZIPAUDA,"Wonder powder\nthat energizes\ncrops in field.",
NAME_ID_ITEM_DAIJINAMONO_EZESORUTO,"Eze Salt",
RUBY_ID_ITEM_DAIJINAMONO_EZESORUTO,"Eze Salt",
EXPLANATION_ID_ITEM_DAIJINAMONO_EZESORUTO,"Special salt\nfrom Ezesol\nCanyon's lakes.",
NAME_ID_ITEM_DAIJINAMONO_FERUNANOMEMO,"Felner's Notes",
RUBY_ID_ITEM_DAIJINAMONO_FERUNANOMEMO,"Felner's Notes",
EXPLANATION_ID_ITEM_DAIJINAMONO_FERUNANOMEMO,"Note containing\nvarious info on\nDezel's corpse.",
NAME_ID_ITEM_DAIJINAMONO_FOSUTEIRUDEN,"Fostail Biography",
RUBY_ID_ITEM_DAIJINAMONO_FOSUTEIRUDEN,"Fostail Biography",
EXPLANATION_ID_ITEM_DAIJINAMONO_FOSUTEIRUDEN,"500 year old\nbook detailing\nFostail's life.",
NAME_ID_ITEM_DAIJINAMONO_FUNWARIPANKEKI,"Fluffy Pancakes",
RUBY_ID_ITEM_DAIJINAMONO_FUNWARIPANKEKI,"Fluffy Pancakes",
EXPLANATION_ID_ITEM_DAIJINAMONO_FUNWARIPANKEKI,"Pancakes with\nAcro Bat's\nmark on them.",
NAME_ID_ITEM_DAIJINAMONO_FURUKIODORIKONODENSETU,"Old Dancer's Legend",
RUBY_ID_ITEM_DAIJINAMONO_FURUKIODORIKONODENSETU,"Old Dancer's Legend",
EXPLANATION_ID_ITEM_DAIJINAMONO_FURUKIODORIKONODENSETU,"Old book on the\nlegend of a\nstrong dancer.",
NAME_ID_ITEM_DAIJINAMONO_FUSHIGINAKAJIDAI,"Fun-Size Forge",
RUBY_ID_ITEM_DAIJINAMONO_FUSHIGINAKAJIDAI,"Fun-Size Forge",
EXPLANATION_ID_ITEM_DAIJINAMONO_FUSHIGINAKAJIDAI,"All-in-one\nsmithing station\nwith furnace.",
NAME_ID_ITEM_DAIJINAMONO_GAMIRUGONOGOFU,"Gamilgo's Amulet",
RUBY_ID_ITEM_DAIJINAMONO_GAMIRUGONOGOFU,"Gamilgo's Amulet",
EXPLANATION_ID_ITEM_DAIJINAMONO_GAMIRUGONOGOFU,"Wooden amulet\nthat leads lost\nsouls to heaven.",
NAME_ID_ITEM_DAIJINAMONO_GANIPPONOKABAN,"Ganippo's Bag",
RUBY_ID_ITEM_DAIJINAMONO_GANIPPONOKABAN,"Ganippo's Bag",
EXPLANATION_ID_ITEM_DAIJINAMONO_GANIPPONOKABAN,"Special bag\nmade by Tote\nfor Ganippo.",
NAME_ID_ITEM_DAIJINAMONO_GARASUNOKOBIN_1,"Small Glass Bottle",
RUBY_ID_ITEM_DAIJINAMONO_GARASUNOKOBIN_1,"Small Glass Bottle",
EXPLANATION_ID_ITEM_DAIJINAMONO_GARASUNOKOBIN_1,"Empty glass\nbottle given by\nChief Setorii.",
NAME_ID_ITEM_DAIJINAMONO_GARASUNOKOBIN_2,"Small Glass Bottle",
RUBY_ID_ITEM_DAIJINAMONO_GARASUNOKOBIN_2,"Small Glass Bottle",
EXPLANATION_ID_ITEM_DAIJINAMONO_GARASUNOKOBIN_2,"Full of\nUnderground\nLake water.",
NAME_ID_ITEM_DAIJINAMONO_GARASUNOKOBIN_3,"Small Glass Bottle",
RUBY_ID_ITEM_DAIJINAMONO_GARASUNOKOBIN_3,"Small Glass Bottle",
EXPLANATION_ID_ITEM_DAIJINAMONO_GARASUNOKOBIN_3,"Full of muddy\nUnderground\nLake water.",
NAME_ID_ITEM_DAIJINAMONO_GEKKOUCHOUNOYAKAIFUKU,"Moon Butterfly Outfit",
RUBY_ID_ITEM_DAIJINAMONO_GEKKOUCHOUNOYAKAIFUKU,"Moon Butterfly Outfit",
EXPLANATION_ID_ITEM_DAIJINAMONO_GEKKOUCHOUNOYAKAIFUKU,"To look graceful\nand mysterious.\nFor Raguas only.",
NAME_ID_ITEM_DAIJINAMONO_GEKKOUNOKINSI,"Golden Moonlight Thread",
RUBY_ID_ITEM_DAIJINAMONO_GEKKOUNOKINSI,"Golden Moonlight Thread",
EXPLANATION_ID_ITEM_DAIJINAMONO_GEKKOUNOKINSI,"Rare thread that\nglistens like\nmoonlight.",
NAME_ID_ITEM_DAIJINAMONO_GENENNOHAI,"Flame Ashes",
RUBY_ID_ITEM_DAIJINAMONO_GENENNOHAI,"Flame Ashes",
EXPLANATION_ID_ITEM_DAIJINAMONO_GENENNOHAI,"Ash used as a\nNightmare Gang\nHideout key.",
NAME_ID_ITEM_DAIJINAMONO_GENZITUNOKAGAMI,"Phantom Sun Mirror",
RUBY_ID_ITEM_DAIJINAMONO_GENZITUNOKAGAMI,"げんじつのかがみ",
EXPLANATION_ID_ITEM_DAIJINAMONO_GENZITUNOKAGAMI,"A mirror that is\nneeded to open the\nPyramid's Sun Chamber.",
NAME_ID_ITEM_DAIJINAMONO_GINNOKAMEO,"Silver Cameo",
RUBY_ID_ITEM_DAIJINAMONO_GINNOKAMEO,"Silver Cameo",
EXPLANATION_ID_ITEM_DAIJINAMONO_GINNOKAMEO,"A silver cameo that\nwas worn by Kalevan.",
NAME_ID_ITEM_DAIJINAMONO_GINNOKIIENBUREMU,"Silver Key Emblem",
RUBY_ID_ITEM_DAIJINAMONO_GINNOKIIENBUREMU,"Silver Key Emblem",
EXPLANATION_ID_ITEM_DAIJINAMONO_GINNOKIIENBUREMU,"Silver emblem\nthat Verinard\nheroes receive.",
NAME_ID_ITEM_DAIJINAMONO_GISINOKOUGUKABAN,"Engineer's Toolbag",
RUBY_ID_ITEM_DAIJINAMONO_GISINOKOUGUKABAN,"Engineer's Toolbag",
EXPLANATION_ID_ITEM_DAIJINAMONO_GISINOKOUGUKABAN,"Bag with tools\nneeded to fix a\ncertain device.",
NAME_ID_ITEM_DAIJINAMONO_GOKUISYONOSAISHUUKAN,"Creed Final Volume",
RUBY_ID_ITEM_DAIJINAMONO_GOKUISYONOSAISHUUKAN,"Creed Final Volume",
EXPLANATION_ID_ITEM_DAIJINAMONO_GOKUISYONOSAISHUUKAN,"Secrets of the\nmaster of\nperforming arts.",
NAME_ID_ITEM_DAIJINAMONO_GUREITOHURURODDO,"Grateful Rod",
RUBY_ID_ITEM_DAIJINAMONO_GUREITOHURURODDO,"Grateful Rod",
EXPLANATION_ID_ITEM_DAIJINAMONO_GUREITOHURURODDO,"Long rod that\nemits majesty\nand dignity.",
NAME_ID_ITEM_DAIJINAMONO_GURENNODAIHOUSEKI,"Bright Red Gem",
RUBY_ID_ITEM_DAIJINAMONO_GURENNODAIHOUSEKI,"Bright Red Gem",
EXPLANATION_ID_ITEM_DAIJINAMONO_GURENNODAIHOUSEKI,"Huge gemstone\nwith a fiery\ngleam.",
NAME_ID_ITEM_DAIJINAMONO_GURENNOYONJYUUNANAKAN,"Glen's History, Vol. 47",
RUBY_ID_ITEM_DAIJINAMONO_GURENNOYONJYUUNANAKAN,"Glen History Vol. 47",
EXPLANATION_ID_ITEM_DAIJINAMONO_GURENNOYONJYUUNANAKAN,"Old book with\nthe history of\nGlen Castle.",
NAME_ID_ITEM_DAIJINAMONO_GURORIASUKOTO,"Glorious Outfit",
RUBY_ID_ITEM_DAIJINAMONO_GURORIASUKOTO,"Glorious Outfit",
EXPLANATION_ID_ITEM_DAIJINAMONO_GURORIASUKOTO,"To look like\nyou're majestic.\nFor Duston only.",
NAME_ID_ITEM_DAIJINAMONO_GURORISUNOSIZUKU,"Droplet of Gloris",
RUBY_ID_ITEM_DAIJINAMONO_GURORISUNOSIZUKU,"Droplet of Gloris",
EXPLANATION_ID_ITEM_DAIJINAMONO_GURORISUNOSIZUKU,"Realm's Chalice\nfilled with a\nsacred droplet.",
NAME_ID_ITEM_DAIJINAMONO_GUSYOUNOREIHAI,"Apparition Ash",
RUBY_ID_ITEM_DAIJINAMONO_GUSYOUNOREIHAI,"Embodiment Ash",
EXPLANATION_ID_ITEM_DAIJINAMONO_GUSYOUNOREIHAI,"Spiritual powder\nneeded to draw magic\ncircles.",
NAME_ID_ITEM_DAIJINAMONO_GYASUMONHATO,"Gasmon Heart",
RUBY_ID_ITEM_DAIJINAMONO_GYASUMONHATO,"Gasmon Heart",
EXPLANATION_ID_ITEM_DAIJINAMONO_GYASUMONHATO,"Crystallization\nof a Gasmon's\nevil heart.",
NAME_ID_ITEM_DAIJINAMONO_HAISUISYOUNOTUME,"Ash Crystal Claw",
RUBY_ID_ITEM_DAIJINAMONO_HAISUISYOUNOTUME,"Ash Crystal Claw",
EXPLANATION_ID_ITEM_DAIJINAMONO_HAISUISYOUNOTUME,"Crystal in the\nshape of a claw\nwith gray light.",
NAME_ID_ITEM_DAIJINAMONO_HAITEKUSUPANA,"High-Tech Wrench",
RUBY_ID_ITEM_DAIJINAMONO_HAITEKUSUPANA,"High-Tech Wrench",
EXPLANATION_ID_ITEM_DAIJINAMONO_HAITEKUSUPANA,"Wrench made\nusing advanced\ntechnology.",
NAME_ID_ITEM_DAIJINAMONO_HAKUBAINOEDA,"White Plum Branch",
RUBY_ID_ITEM_DAIJINAMONO_HAKUBAINOEDA,"Plum Branch",
EXPLANATION_ID_ITEM_DAIJINAMONO_HAKUBAINOEDA,"A White Plum Branch\nfor the caretaker of\nMonsero Hot Springs.",
NAME_ID_ITEM_DAIJINAMONO_HAKUGINHOTATE,"Silver Scallop",
RUBY_ID_ITEM_DAIJINAMONO_HAKUGINHOTATE,"Silver Scallop",
EXPLANATION_ID_ITEM_DAIJINAMONO_HAKUGINHOTATE,"Rare scallop\nthat produces\nsmall pearls.",
NAME_ID_ITEM_DAIJINAMONO_HANKYUTAINOKAKERA,"Sphere Fragment",
RUBY_ID_ITEM_DAIJINAMONO_HANKYUTAINOKAKERA,"Sphere Fragment",
EXPLANATION_ID_ITEM_DAIJINAMONO_HANKYUTAINOKAKERA,"Soft fragment\ntaken from the\nStrange Sphere.",
NAME_ID_ITEM_DAIJINAMONO_HAROWINISYOUKEN2,"Halloween Costume Tkt Ⅱ",
